month,revenue_million_twd,data_status,source_note,source_url
2025-01,293288,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-02,260009,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-03,285957,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-04,349567,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-05,320516,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-06,263709,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-07,323166,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-08,335772,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-09,330980,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-10,367473,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-11,343614,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2025-12,335003,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2025,https://investor.tsmc.com/english/monthly-revenue/2025
2026-01,401255,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2026,https://investor.tsmc.com/english/monthly-revenue/2026
2026-02,317657,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2026,https://investor.tsmc.com/english/monthly-revenue/2026
2026-03,415191,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2026,https://investor.tsmc.com/english/monthly-revenue/2026
2026-04,410726,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2026,https://investor.tsmc.com/english/monthly-revenue/2026
2026-05,416975,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2026,https://investor.tsmc.com/english/monthly-revenue/2026
2026-06,442680,OFFICIAL_ACTUAL_CURRENT_CONTEXT,TSMC monthly revenue 2026,https://investor.tsmc.com/english/monthly-revenue/2026
